,gripper,time
513,False,1727269619612607782
514,False,1727269619623159073
515,False,1727269619633671924
516,False,1727269619644228302
517,False,1727269619654745922
518,False,1727269619665279336
519,False,1727269619675834464
520,False,1727269619686311670
521,False,1727269619696797582
522,False,1727269619707336336
523,False,1727269619717918095
524,False,1727269619728453512
525,False,1727269619739004036
526,False,1727269619749510427
527,False,1727269619760024013
528,False,1727269619770494431
529,False,1727269619781039504
530,False,1727269619791512726
531,False,1727269619802129491
532,False,1727269619812682050
533,False,1727269619823231251
534,False,1727269619833794568
535,False,1727269619844331777
536,False,1727269619854884882
537,False,1727269619865402665
538,False,1727269619875955581
539,False,1727269619886440846
540,False,1727269619896986767
541,False,1727269619907465036
542,False,1727269619918073288
543,False,1727269619928595280
544,False,1727269619939142970
545,False,1727269619949654660
546,False,1727269619960203864
547,False,1727269619970654874
548,False,1727269619981198516
549,False,1727269619991703919
550,False,1727269620002234360
551,False,1727269620012470214
552,False,1727269620022980455
553,False,1727269620034091644
554,False,1727269620045074708
555,False,1727269620056066759
556,False,1727269620066353302
557,False,1727269620077138081
558,False,1727269620087429615
559,False,1727269620097644950
560,False,1727269620108266151
561,False,1727269620118381203
562,False,1727269620128699846
563,False,1727269620139251487
564,False,1727269620149507337
565,False,1727269620159904012
566,False,1727269620170471948
567,False,1727269620181184987
568,False,1727269620191488084
569,False,1727269620202268158
570,False,1727269620212716480
571,False,1727269620223142201
572,False,1727269620233426180
573,False,1727269620243553264
574,False,1727269620254018070
575,False,1727269620264280106
576,False,1727269620274623458
577,False,1727269620285024926
578,False,1727269620295407112
579,False,1727269620305986459
580,False,1727269620316509090
581,False,1727269620327073708
582,False,1727269620337595733
583,False,1727269620348141914
584,False,1727269620358661987
585,False,1727269620369223031
586,False,1727269620379702140
587,False,1727269620390261692
588,False,1727269620400808792
589,False,1727269620411334357
590,False,1727269620421941411
591,False,1727269620432466838
592,False,1727269620443025556
593,False,1727269620453543908
594,False,1727269620464094704
595,False,1727269620474481129
596,False,1727269620485152616
597,False,1727269620495654851
598,False,1727269620506228301
599,False,1727269620516774392
600,False,1727269620527335338
601,False,1727269620537954244
602,False,1727269620548475087
603,False,1727269620559039946
604,False,1727269620569560032
605,False,1727269620580111035
606,False,1727269620590734465
607,False,1727269620601417547
608,False,1727269620611989454
609,False,1727269620622467318
610,False,1727269620633007977
611,False,1727269620643473128
612,False,1727269620654086028
613,False,1727269620664602497
614,False,1727269620675151680
615,False,1727269620685667678
616,False,1727269620696218677
